Compound_CID,Compound,Formula,Molecular_Weight,CAS No.,External Link to ChEMBL,Source_Chemical,Source_Chemical_URL
11015758,"(1S,2R,5S,6S,7R,8S,11R)-7-hydroxy-11-(2-hydroxypropan-2-yl)-6-methyl-5-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",,446.22,,,NPC258360,https://bidd.group/NPASS/compound.php?compoundID=NPC258360
11064768,"(1R,2S,6R,8R,11S)-6-methyl-5-methylidene-11-propan-2-yl-9-oxatricyclo[6.2.1.02,6]undecane-7,10-dione",,248.14,,,NPC60762,https://bidd.group/NPASS/compound.php?compoundID=NPC60762
11076000,"(1R,1aR,4S,4aS,7R,7aS,7bS)-1,4-bis(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-ol",C₁₅H₂₆O₃,254.188194692,,,"(1R,1aR,4S,4aS,7R,7aS,7bS)-1,4-bis(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-ol",https://www.wikidata.org/wiki/Q105328874
11291989,"3-(5,6-Dimethoxy-1-benzofuran-2-yl)-6,7-dimethoxychromen-2-one",,344.15,,,NPC141631,https://bidd.group/NPASS/compound.php?compoundID=NPC141631
11390848,"4-Methoxy-9,10-Dihydrophenanthrene-2,7-Diol",,242.09,,,"4-Methoxy-9,10-Dihydrophenanthrene-2,7-Diol",https://bidd.group/NPASS/compound.php?compoundID=NPC228503
11437978,"2,3,4,7-Tetramethoxyphenanthrene",,298.12,,,"2,3,4,7-Tetramethoxyphenanthrene",https://bidd.group/NPASS/compound.php?compoundID=NPC149337
11477116,"1-(4,7-Dihydroxy-5-methoxyphenanthren-1-yl)-4-methoxyphenanthrene-2,5-diol",C₃₀H₂₂O₆,478.141638424,,,Denthyrsinol,https://www.wikidata.org/wiki/Q104976186
11506999,"2-Methoxy-9,10-dihydrophenanthrene-4,5-diol",,242.09,,,"2-Methoxy-9,10-Dihydrophenanthrene-4,5-Diol",https://bidd.group/NPASS/compound.php?compoundID=NPC278955
11604108,(-)-Syringaresinol,,418.16,,,(-)-Syringaresinol,https://bidd.group/NPASS/compound.php?compoundID=NPC34103
11732737,"(1S,2R,5S,6S,7R,8S,11R)-7-hydroxy-6-methyl-11-propan-2-yl-5-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",,430.22,,,NPC284607,https://bidd.group/NPASS/compound.php?compoundID=NPC284607
11742643,"(2R,3R,4S,5S,6R)-2-[[(1S,1aR,3aR,4S,7R,7aS,7bS)-4-hydroxy-1-(hydroxymethyl)-1,7-dimethyl-2,3,3a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[a]naphthalen-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",,416.24,,,NPC142047,https://bidd.group/NPASS/compound.php?compoundID=NPC142047
11761556,Dendronobiloside B,,418.26,,,NPC277772,https://bidd.group/NPASS/compound.php?compoundID=NPC277772
11812311,Dendromoniliside C,,444.2,,,NPC191705,https://bidd.group/NPASS/compound.php?compoundID=NPC191705
118603930,Rutaecarpine,C18H15N3O,289.3312,,,NPC321503,https://bidd.group/NPASS/compound.php?compoundID=NPC321503
118701398,"(11R,12R,13S)-2,12-dimethyl-13-propan-2-yl-10-oxa-2-azatetracyclo[5.4.1.18,11.04,12]tridecan-9-one",,263.19,,,NPC66027,https://bidd.group/NPASS/compound.php?compoundID=NPC66027
11964533,Dendrochrysanene,,508.12,,,NPC186268,https://bidd.group/NPASS/compound.php?compoundID=NPC186268
11972333,"(1S,4S,7S,8R,11R,13S)-2,12-dimethyl-13-propan-2-yl-10-oxa-2-azatetracyclo[5.4.1.18,11.04,12]tridecan-9-one",,263.19,,,NPC143159,https://bidd.group/NPASS/compound.php?compoundID=NPC143159
11983285,"1,5,6-Trimethoxyphenanthrene-2,7-diol",,300.1,,,NPC239996,https://bidd.group/NPASS/compound.php?compoundID=NPC239996
