Compound_CID,Compound,Source_Chemical,Source_Chemical_URL,Molecular_Weight,Formula
85115605,"2-[[4-hydroxy-1-(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol","2-[[4-hydroxy-1-(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",https://www.wikidata.org/wiki/Q105166803,416.2410181119998,C₂₁H₃₆O₈
85367589,"7-Hydroxy-11-(2-hydroxypropan-2-yl)-6-methyl-5-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one","7-Hydroxy-11-(2-hydroxypropan-2-yl)-6-methyl-5-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",https://www.wikidata.org/wiki/Q105230333,446.215197288,C₂₁H₃₄O₁₀
85830339,"2,6-Dimethoxy-4-[2-(3-methoxyphenyl)ethyl]phenol",NPC209785,https://bidd.group/NPASS/compound.php?compoundID=NPC209785,288.14,
86021565,Cannithrene 2,Cannithrene 2,https://www.wikidata.org/wiki/Q105132456,272.104858992,C₁₆H₁₆O₄
91387732,"1,1'-Bislusianthridin","4,4',7,7'-Tetrahydroxy-2,2'-dimethoxy-9,9',10,10'-tetrahydro-1,1'-biphenanthrene",https://www.wikidata.org/wiki/Q105240985,482.172938552,C₃₀H₂₆O₆
91692850,beta-D-Fructofuranosyl alpha-D-glucopyranoside,NPC16728,https://bidd.group/NPASS/compound.php?compoundID=NPC16728,342.12,
101063872,"(1S,4S,7S,8S,11R,12R,13S)-2,12-dimethyl-13-propan-2-yl-10-oxa-2-azatetracyclo[5.4.1.18,11.04,12]tridecane-3,9-dione",Mubironine A,https://www.wikidata.org/wiki/Q105185308,277.167793596,C₁₆H₂₃NO₃
101063873,"methyl (4S,7S,8R,9S,10R,11R)-10-hydroxy-2,11-dimethyl-9-propan-2-yl-2-azatricyclo[5.3.1.04,11]undecane-8-carboxylate",Mubironine C,https://www.wikidata.org/wiki/Q105270901,295.214743788,C₁₇H₂₉NO₃
101219070,"(1S,2S,5S,6S,7R,8S,11R)-7-hydroxy-6-methyl-11-propan-2-yl-5-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",Dendroside F,https://www.wikidata.org/wiki/Q105126304,430.220282668,C₂₁H₃₄O₉
101219071,"(1S,2S,5S,6S,7R,8R,11S)-7,11-dihydroxy-6-methyl-11-propan-2-yl-5-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",Dendroside G,https://www.wikidata.org/wiki/Q105308792,446.215197288,C₂₁H₃₄O₁₀
101316879,"(1S,3R,5S,8S,9R,12R,13S,14R)-14-hydroxy-13-methyl-14-propan-2-yl-4,7,10-trioxapentacyclo[6.4.1.19,12.03,5.05,13]tetradecane-6,11-dione",NPC245898,https://bidd.group/NPASS/compound.php?compoundID=NPC245898,294.11,
102026936,"8-[(5-Hydroxy-7-methoxy-9,10-dihydrophenanthren-2-yl)oxy]-6-methoxy-9,10-dihydrophenanthrene-2,5-diol",NPC218604,https://bidd.group/NPASS/compound.php?compoundID=NPC218604,482.17,
102477413,Phochinenin G,NPC212048,https://bidd.group/NPASS/compound.php?compoundID=NPC212048,482.17,
118603930,"3,13,21-Triazapentacyclo[11.8.0.02,10.04,9.015,20]henicosa-1(21),4,6,8,15,17,19-heptaen-14-one",NPC321503,https://bidd.group/NPASS/compound.php?compoundID=NPC321503,289.12,
118701398,"(11R,12R,13S)-2,12-dimethyl-13-propan-2-yl-10-oxa-2-azatetracyclo[5.4.1.18,11.04,12]tridecan-9-one",NPC66027,https://bidd.group/NPASS/compound.php?compoundID=NPC66027,263.19,
132525205,"7-Hydroxy-9,10-dihydrophenanthrene-1,4-dione","7-Hydroxy-9,10-dihydrophenanthrene-1,4-dione",https://www.wikidata.org/wiki/Q115970791,226.06299418,C₁₄H₁₀O₃
132525207,"(3S)-4-hydroxy-2'-methoxyspiro[1,2-dihydroindene-3,6'-cyclohex-2-ene]-1',4'-dione",(+)-Denobilone A,https://www.wikidata.org/wiki/Q115971959,258.089208928,C₁₅H₁₄O₄
132525208,"(3R)-4-hydroxy-2'-methoxyspiro[1,2-dihydroindene-3,6'-cyclohex-2-ene]-1',4'-dione",NPC479223,https://bidd.group/NPASS/compound.php?compoundID=NPC479223,258.09,
132525209,"(4aR,10aR)-4a,5-dihydroxy-4-methoxy-1,9,10,10a-tetrahydrophenanthren-2-one",NPC479224,https://bidd.group/NPASS/compound.php?compoundID=NPC479224,260.1,
132525210,"(4aR,10aS)-4a,5-dihydroxy-4-methoxy-10,10a-dihydro-1H-phenanthrene-2,9-dione",Denobilone C,https://www.wikidata.org/wiki/Q115971686,274.084123548,C₁₅H₁₄O₅
134141097,"9-(2,5-Dihydroxy-7-methoxy-9,10-dihydrophenanthren-3-yl)-5,7-dimethoxyphenanthrene-4,10-diol",NPC479228,https://bidd.group/NPASS/compound.php?compoundID=NPC479228,510.17,
134145688,"10-(2,5-Dihydroxy-7-methoxy-9,10-dihydrophenanthren-3-yl)-4-methoxyphenanthrene-2,5-diol","10-(2,5-Dihydroxy-7-methoxy-9,10-dihydrophenanthren-3-yl)-4-methoxyphenanthrene-2,5-diol",https://www.wikidata.org/wiki/Q115970945,480.157288488,C₃₀H₂₄O₆
134154603,"7-Methoxyphenanthrene-2,4,5-triol",NPC479227,https://bidd.group/NPASS/compound.php?compoundID=NPC479227,256.07,
134156048,"8-(4,7-Dihydroxy-5-methoxyphenanthren-1-yl)-5,7-dimethoxyphenanthrene-4,10-diol","8-(4,7-Dihydroxy-5-methoxyphenanthren-1-yl)-5,7-dimethoxyphenanthrene-4,10-diol",https://www.wikidata.org/wiki/Q115971537,508.152203108,C₃₁H₂₄O₇
135520438,"6,7-Dihydroxy-2-methoxy-1,4-phenanthrenedione",NPC264022,https://bidd.group/NPASS/compound.php?compoundID=NPC264022,270.05,
146166008,"methyl 2-[(1S,3R,4S,7S,8R,11R,12R,13S)-2,12-dimethyl-9-oxo-13-propan-2-yl-10-oxa-2-azatetracyclo[5.4.1.18,11.04,12]tridecan-3-yl]acetate",NPC225781,https://bidd.group/NPASS/compound.php?compoundID=NPC225781,335.21,
154496027,"(1R,2R,5R,6S,9S,15R,16R)-16-hydroxy-15-methyl-16-propan-2-yl-3,14-dioxa-11-azapentacyclo[7.5.1.12,5.01,11.06,15]hexadecan-4-one",NPC292237,https://bidd.group/NPASS/compound.php?compoundID=NPC292237,307.18,
154496059,"(1R,2R,5S,6R,9S,15S,16S)-6-hydroxy-15-methyl-16-propan-2-yl-3,14-dioxa-11-azapentacyclo[7.5.1.12,5.01,11.06,15]hexadecan-4-one","(1R,2R,5S,6R,9S,15S,16S)-6-hydroxy-15-methyl-16-propan-2-yl-3,14-dioxa-11-azapentacyclo[7.5.1.12,5.01,11.06,15]hexadecan-4-one",https://www.wikidata.org/wiki/Q105307500,307.17835828,C₁₇H₂₅NO₄
154496459,"(1R,2R,5S,6S,9S,15R,16S)-15-methyl-16-propan-2-yl-3,14-dioxa-11-azapentacyclo[7.5.1.12,5.01,11.06,15]hexadecan-4-one","(1R,2R,5S,6S,9S,15R,16S)-15-methyl-16-propan-2-yl-3,14-dioxa-11-azapentacyclo[7.5.1.12,5.01,11.06,15]hexadecan-4-one",https://www.wikidata.org/wiki/Q104953190,291.18344366,C₁₇H₂₅NO₃
154497096,"(1S,2S,6S,8S,11S)-6-methyl-5-methylidene-11-propan-2-yl-9-oxatricyclo[6.2.1.02,6]undecane-7,10-dione","(1S,2S,6S,8S,11S)-6-methyl-5-methylidene-11-propan-2-yl-9-oxatricyclo[6.2.1.02,6]undecane-7,10-dione",https://www.wikidata.org/wiki/Q104911288,248.1412445,C₁₅H₂₀O₃
161547331,"(1S,2S,5R,6R,7R,8R,11S)-7,11-dihydroxy-6-methyl-11-propan-2-yl-5-[[(2S,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one","(1S,2S,5R,6R,7R,8R,11S)-7,11-dihydroxy-6-methyl-11-propan-2-yl-5-[[(2S,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",https://www.wikidata.org/wiki/Q105308790,446.215197288,C₂₁H₃₄O₁₀
162837356,"(3R,4aS,5R)-4a,5-dimethyl-7-methylidene-3-prop-1-en-2-yl-1,2,3,4,5,6-hexahydronaphthalene",NPC119969,https://bidd.group/NPASS/compound.php?compoundID=NPC119969,622.48,
162842541,"2-[2-hydroxy-6-methoxy-4-[(3R,4R)-4-(3-methoxyphenyl)dioxetan-3-yl]phenyl]-3-methoxy-5-[2-(3-methoxyphenyl)ethyl]phenol",NPC289185,https://bidd.group/NPASS/compound.php?compoundID=NPC289185,544.21,
162870395,"(9S)-4,6-dimethoxy-8-[2-(3-methoxyphenyl)ethyl]-9-[(3-methoxyphenyl)methyl]-9H-xanthene-2,3,5-triol","(9S)-4,6-dimethoxy-8-[2-(3-methoxyphenyl)ethyl]-9-[(3-methoxyphenyl)methyl]-9H-xanthene-2,3,5-triol",https://www.wikidata.org/wiki/Q104981417,544.209717984,C₃₂H₃₂O₈
162870439,"(1S,3R,4R,7S,8S,11S,12S,13S)-3,4-dihydroxy-13-[(2R)-1-hydroxypropan-2-yl]-12-methyl-2,10-dioxatetracyclo[5.4.1.18,11.04,12]tridecan-9-one","(1S,3R,4R,7S,8S,11S,12S,13S)-3,4-dihydroxy-13-[(2R)-1-hydroxypropan-2-yl]-12-methyl-2,10-dioxatetracyclo[5.4.1.18,11.04,12]tridecan-9-one",https://www.wikidata.org/wiki/Q105118547,298.141638424,C₁₅H₂₂O₆
162878780,"(2R,3R,4S,5S,6R)-2-[[(4R,4aR)-6-methyl-4-[(2S)-1-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl]-2,3,4,4a,7,8-hexahydronaphthalen-1-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",NPC112778,https://bidd.group/NPASS/compound.php?compoundID=NPC112778,560.28,
162916341,"4-[(1S)-1-hydroxy-2-(4-hydroxy-3-methoxyphenyl)ethyl]-2,6-dimethoxyphenol","4-[(1S)-1-hydroxy-2-(4-hydroxy-3-methoxyphenyl)ethyl]-2,6-dimethoxyphenol",https://www.wikidata.org/wiki/Q105250300,320.12598836,C₁₇H₂₀O₆
162918547,"2-[4-[(3S,4S)-4-(hydroxymethyl)dioxetan-3-yl]-2,6-dimethoxyphenyl]-3-methoxy-5-[2-(3-methoxyphenyl)ethyl]phenol","2-[4-[(3S,4S)-4-(hydroxymethyl)dioxetan-3-yl]-2,6-dimethoxyphenyl]-3-methoxy-5-[2-(3-methoxyphenyl)ethyl]phenol",https://www.wikidata.org/wiki/Q105034187,482.19406792,C₂₇H₃₀O₈
162925874,"(4aS,10aR)-5-hydroxy-3,7-dimethoxy-4a,10a-dihydrophenanthrene-1,4-dione",NPC280766,https://bidd.group/NPASS/compound.php?compoundID=NPC280766,286.08,
162946198,"(2S,3S,4R,5R,6S)-2-[[(1R,3aR,4R,5R,7aS)-1-hydroxy-1-(hydroxymethyl)-7a-methyl-5-propan-2-yl-3,3a,4,5,6,7-hexahydro-2H-inden-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",NPC161037,https://bidd.group/NPASS/compound.php?compoundID=NPC161037,418.26,
162946199,"(2S,3R,4R,5R,6S)-2-[[(1R,3aR,4R,5R,7aS)-1-hydroxy-1-(hydroxymethyl)-7a-methyl-5-propan-2-yl-3,3a,4,5,6,7-hexahydro-2H-inden-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol","(2S,3R,4R,5R,6S)-2-[[(1R,3aR,4R,5R,7aS)-1-hydroxy-1-(hydroxymethyl)-7a-methyl-5-propan-2-yl-3,3a,4,5,6,7-hexahydro-2H-inden-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",https://www.wikidata.org/wiki/Q105184955,418.256668176,C₂₁H₃₈O₈
162968055,"(2R,3R,4S,5S,6R)-2-[[(1R,1aR,4S,4aS,7R,7aS,7bS)-4-hydroxy-1,7-dimethyl-4-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-1-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",NPC33998,https://bidd.group/NPASS/compound.php?compoundID=NPC33998,578.29,
162970769,"(2R,3S,4S,5S,6S)-2-[[(1S,3aR,4R,5R,7aS)-7a-methyl-5-propan-2-yl-4-[[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-1,2,3,3a,4,5,6,7-octahydroinden-1-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",NPC103180,https://bidd.group/NPASS/compound.php?compoundID=NPC103180,564.31,
162970770,"(2R,3R,4S,5S,6R)-2-[[(1S,3aR,4R,5R,7aR)-7a-methyl-5-propan-2-yl-4-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-1,2,3,3a,4,5,6,7-octahydroinden-1-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol","(2R,3R,4S,5S,6R)-2-[[(1S,3aR,4R,5R,7aR)-7a-methyl-5-propan-2-yl-4-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-1,2,3,3a,4,5,6,7-octahydroinden-1-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",https://www.wikidata.org/wiki/Q104950782,564.314576976,C₂₇H₄₈O₁₂
162984487,"(1S,2S,5R,6R,7S,8R,11R)-7,11-dihydroxy-5-(hydroxymethyl)-6-methyl-11-propan-2-yl-9-oxatricyclo[6.2.1.02,6]undecan-10-one","(1S,2S,5R,6R,7S,8R,11R)-7,11-dihydroxy-5-(hydroxymethyl)-6-methyl-11-propan-2-yl-9-oxatricyclo[6.2.1.02,6]undecan-10-one",https://www.wikidata.org/wiki/Q105242475,284.162373868,C₁₅H₂₄O₅
162989721,"(2R,3S,4S,5S,6S)-2-[[(1R,1aR,4S,4aS,7R,7aS,7bS)-4-hydroxy-1-(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",NPC273109,https://bidd.group/NPASS/compound.php?compoundID=NPC273109,416.24,
162989722,"(2R,3R,4S,5S,6R)-2-[[(1S,1aR,4S,4aS,7R,7aS,7bS)-4-hydroxy-1-(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",NPC29826,https://bidd.group/NPASS/compound.php?compoundID=NPC29826,416.24,
163033046,"(2R,3R,4S,5S,6R)-2-[[(8S,8aR)-8-propan-2-yl-5-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-3,4,6,7,8,8a-hexahydronaphthalen-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol","(2R,3R,4S,5S,6R)-2-[[(8S,8aR)-8-propan-2-yl-5-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-3,4,6,7,8,8a-hexahydronaphthalen-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",https://www.wikidata.org/wiki/Q105291288,560.283276848,C₂₇H₄₄O₁₂
163067475,"(1S,2R,3R,5R,6S,8S)-3-hydroxy-8-(hydroxymethyl)-5-(2-hydroxypropan-2-yl)-2-methyltricyclo[4.4.0.02,8]decan-7-one","(1S,2R,3R,5R,6S,8S)-3-hydroxy-8-(hydroxymethyl)-5-(2-hydroxypropan-2-yl)-2-methyltricyclo[4.4.0.02,8]decan-7-one",https://www.wikidata.org/wiki/Q105350733,268.167459248,C₁₅H₂₄O₄
163081696,"(1S,2R,3R,5S,6S,8R,9S)-3,9-dihydroxy-2,8-dimethyl-5-propan-2-yltricyclo[4.4.0.02,8]decan-7-one","(1S,2R,3R,5S,6S,8R,9S)-3,9-dihydroxy-2,8-dimethyl-5-propan-2-yltricyclo[4.4.0.02,8]decan-7-one",https://www.wikidata.org/wiki/Q105179386,252.172544628,C₁₅H₂₄O₃
163087350,"(1R,2R,5R,6S,9S,15R,16S)-15-methyl-16-propan-2-yl-3,14-dioxa-11-azapentacyclo[7.5.1.12,5.01,11.06,15]hexadecan-4-one",NPC297685,https://bidd.group/NPASS/compound.php?compoundID=NPC297685,291.18,
163090891,"(1S,2S,5R,6R,7R,8S,11S)-7-hydroxy-6-methyl-11-propan-2-yl-5-[[(2S,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one","(1S,2S,5R,6R,7R,8S,11S)-7-hydroxy-6-methyl-11-propan-2-yl-5-[[(2S,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",https://www.wikidata.org/wiki/Q105126302,430.220282668,C₂₁H₃₄O₉
163091277,"(1S,2S,5R,7R,8S,9S,12S)-8-hydroxy-5-(hydroxymethyl)-12-[(2R)-1-hydroxypropan-2-yl]-10-oxatetracyclo[7.2.1.02,7.05,7]dodecan-11-one","(1S,2S,5R,7R,8S,9S,12S)-8-hydroxy-5-(hydroxymethyl)-12-[(2R)-1-hydroxypropan-2-yl]-10-oxatetracyclo[7.2.1.02,7.05,7]dodecan-11-one",https://www.wikidata.org/wiki/Q104954475,282.146723804,C₁₅H₂₂O₅
163103664,"(1R,2S,5R,6S,7S,8R,11R)-11-[(2R)-1,2-dihydroxypropan-2-yl]-7-hydroxy-5-(hydroxymethyl)-6-methyl-9-oxatricyclo[6.2.1.02,6]undecan-10-one","(1R,2S,5R,6S,7S,8R,11R)-11-[(2R)-1,2-dihydroxypropan-2-yl]-7-hydroxy-5-(hydroxymethyl)-6-methyl-9-oxatricyclo[6.2.1.02,6]undecan-10-one",https://www.wikidata.org/wiki/Q104959449,300.157288488,C₁₅H₂₄O₆
163104943,"(1S,2R,3S,4S,5R,6R,7S,8R,10R)-3-(hydroxymethyl)-10-[(2S)-1-hydroxypropan-2-yl]-7-methyltetracyclo[4.4.0.02,4.03,7]decane-5,8-diol","(1S,2R,3S,4S,5R,6R,7S,8R,10R)-3-(hydroxymethyl)-10-[(2S)-1-hydroxypropan-2-yl]-7-methyltetracyclo[4.4.0.02,4.03,7]decane-5,8-diol",https://www.wikidata.org/wiki/Q105156404,268.167459248,C₁₅H₂₄O₄
163106181,"(1R,2S,5R,6S,7S,8R,11S)-7-hydroxy-5-(hydroxymethyl)-11-(2-hydroxypropan-2-yl)-6-methyl-9-oxatricyclo[6.2.1.02,6]undecan-10-one","(1R,2S,5R,6S,7S,8R,11S)-7-hydroxy-5-(hydroxymethyl)-11-(2-hydroxypropan-2-yl)-6-methyl-9-oxatricyclo[6.2.1.02,6]undecan-10-one",https://www.wikidata.org/wiki/Q105275354,284.162373868,C₁₅H₂₄O₅
