Compound_CID,Compound,Source_Chemical,Source_Chemical_URL,Molecular_Weight,Formula
443024,Acanthoside B,Syringaresinol-Beta-D Glucoside,https://bidd.group/NPASS/compound.php?compoundID=NPC130449,580.22,
566057,"2,12-Dimethyl-13-propan-2-yl-10-oxa-2-azatetracyclo[5.4.1.18,11.04,12]tridecan-9-one",NPC298346,https://bidd.group/NPASS/compound.php?compoundID=NPC298346,263.19,
636980,3-Methoxy-5-(2-phenylethyl)phenol,"Phenol, 3-methoxy-5-(2-phenylethyl)-",https://www.wikidata.org/wiki/Q72465991,228.115029752,C₁₅H₁₆O₂
640646,"3,4-Dimethoxyphenanthrene-2,5-Diol","3,4-Dimethoxyphenanthrene-2,5-diol",https://www.wikidata.org/wiki/Q104971972,270.089208928,C₁₆H₁₄O₄
667495,"(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)-2,3-dihydro-4H-chromen-4-one",NPC311485,https://bidd.group/NPASS/compound.php?compoundID=NPC311485,272.07,
688305,"2-Amino-3,5-dibromobenzaldehyde",NPC151242,https://bidd.group/NPASS/compound.php?compoundID=NPC151242,655.78,
1268142,Nootkatone,Nootkatone,https://bidd.group/NPASS/compound.php?compoundID=NPC127582,218.17,
3037126,Dendrobine,NPC109192,https://bidd.group/NPASS/compound.php?compoundID=NPC109192,263.19,
3083597,Ayapin,Ayapin,https://bidd.group/NPASS/compound.php?compoundID=NPC7163,190.03,
4486984,(+)-7-epi-Syringaresinol 4'-glucoside,(+)-7-epi-Syringaresinol 4'-glucoside,https://www.wikidata.org/wiki/Q105303113,580.215591212,C₂₈H₃₆O₁₃
5316531,"7-Hydroxy-2,12-dimethyl-13-propan-2-yl-10-oxa-2-azatetracyclo[5.4.1.18,11.04,12]tridecan-9-one",NPC174885,https://bidd.group/NPASS/compound.php?compoundID=NPC174885,279.18,
5316539,"(1R,15R)-15-methyl-16-propan-2-yl-3,14-dioxa-11-azapentacyclo[7.5.1.12,5.01,11.06,15]hexadecan-4-one",NPC282302,https://bidd.group/NPASS/compound.php?compoundID=NPC282302,291.18,
5318187,"6-Hydroxy-15-methyl-16-propan-2-yl-3,14-dioxa-11-azapentacyclo[7.5.1.12,5.01,11.06,15]hexadecan-4-one",NPC170399,https://bidd.group/NPASS/compound.php?compoundID=NPC170399,307.18,
5320179,Nobilonine,NPC99816,https://bidd.group/NPASS/compound.php?compoundID=NPC99816,293.2,
5742590,Sitogluside,Daucosterol,https://bidd.group/NPASS/compound.php?compoundID=NPC243728,576.44,
6325050,"methyl 2-[(1S,7S,8R,11R,12S)-2,12-dimethyl-9-oxo-13-propan-2-yl-10-oxa-2-azatetracyclo[5.4.1.18,11.04,12]tridecan-3-yl]acetate",NPC96390,https://bidd.group/NPASS/compound.php?compoundID=NPC96390,335.21,
6325643,"(4R,11R)-2,2,12-trimethyl-13-propan-2-yl-10-oxa-2-azoniatetracyclo[5.4.1.18,11.04,12]tridecan-9-one",NPC151752,https://bidd.group/NPASS/compound.php?compoundID=NPC151752,278.21,
6432744,(-)-beta-Sitosterol,NPC29,https://bidd.group/NPASS/compound.php?compoundID=NPC29,414.39,
9794438,"(6R)-4,4a-dimethyl-6-prop-1-en-2-yl-3,4,5,6,7,8-hexahydronaphthalen-2-one",NPC4817,https://bidd.group/NPASS/compound.php?compoundID=NPC4817,218.17,
10030799,Dendronobiloside A,NPC50146,https://bidd.group/NPASS/compound.php?compoundID=NPC50146,564.31,
10108163,3-O-Methylgigantol,3-O-Methylgigantol,https://www.wikidata.org/wiki/Q105147374,288.13615912,C₁₇H₂₀O₄
10108607,Flakinin B,Flakinin B,https://www.wikidata.org/wiki/Q110187902,296.162373868,C₁₆H₂₄O₅
10221179,"3',4-Dihydroxy-3,5'-dimethoxybibenzyl",Gigantol,https://bidd.group/NPASS/compound.php?compoundID=NPC117214,274.12,
10341857,Dendroside A,"(2R,3R,4S,5S,6R)-2-[[(1R,1aR,4S,4aS,7R,7aS,7bS)-4-hydroxy-1-(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",https://www.wikidata.org/wiki/Q105166804,416.241018112,C₂₁H₃₆O₈
10401022,Erianthridin,Erianthridin,https://bidd.group/NPASS/compound.php?compoundID=NPC108198,272.1,
10438430,"[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (1R,1aR,4S,4aS,7R,7aS,7bS)-4-hydroxy-1,7-dimethyl-4-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulene-1-carboxylate",NPC254122,https://bidd.group/NPASS/compound.php?compoundID=NPC254122,592.27,
10445823,"2,6-Phenanthrenediol, 5,7-dimethoxy-","2,6-Phenanthrenediol, 5,7-dimethoxy-",https://www.wikidata.org/wiki/Q82256278,270.089208928,C₁₆H₁₄O₄
10588810,Flakinin A,Flakinin A,https://www.wikidata.org/wiki/Q76415825,280.13107374,C₁₅H₂₀O₅
